,Title,Published_date,Views,Likes,Comments,Month
73,The PODCAST you might have asked for?,2020-10-19,1959,94,44,Oct
74,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6446,443,113,Oct
75,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,11179,347,48,Oct
76,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5661,125,62,Oct
77,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,8506,477,81,Oct
78,Sh*t Data Scientists Say (Parody),2020-10-05,8969,570,142,Oct
79,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8360,361,93,Oct
80,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6848,282,61,Sep
81,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10149,273,69,Sep
82,5 Essential Data Science Projects for Your Portfolio,2020-09-26,62512,2823,201,Sep
83,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4898,191,66,Sep
84,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9448,389,58,Sep
85,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7090,248,34,Sep
86,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,4984,191,56,Sep
87,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3874,150,35,Sep
88,The 5 Pillars of Success I Live By,2020-09-11,9910,868,153,Sep
89,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1856,77,25,Sep
90,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3778,158,43,Sep
91,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11075,711,145,Sep
92,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17043,549,90,Sep
93,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,15720,741,93,Aug
